partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,prudent,13,lr,9.9,0.2595697035561982,0.3893711120340139,0.610628887965986
lfi,prudent,13,rn,12.7,0.444366785515875,0.46321941001888467,0.5367805899811153
lfi,prudent,13,reconquete,7.6,0.4594005328580141,0.4424269771272224,0.5575730228727775
lfi,prudent,13,nouvelle_energie,9,0.29338775604841744,0.43765753007243113,0.5623424699275689
lfi,prudent,14,ecologistes,9.8,0.31555381202336963,0.48562125438293513,0.5143787456170649
lfi,prudent,14,renaissance,8.9,0.40019544619197767,0.48913197998082514,0.5108680200191749
lfi,prudent,14,horizons,12.6,0.43236251581417573,0.4950289433673714,0.5049710566326286
lfi,prudent,14,lr,8,0.46,0.5055130410557686,0.49448695894423145
lfi,prudent,14,rn,12,0.46,0.5269277032354225,0.4730722967645775
lfi,prudent,14,reconquete,8.7,0.46,0.5299335749102754,0.4700664250897246
lfi,prudent,14,nouvelle_energie,9,0.46,0.5048673776686556,0.49513262233134436
lfi,prudent,15,ps,11.7,0.33337138620815815,0.5338028483991287,0.4661971516008713
lfi,prudent,15,ecologistes,9.8,0.3596407488241066,0.5493184869266238,0.4506815130733762
lfi,prudent,15,horizons,11.6,0.2627969921660684,0.45062145449588487,0.5493785455041151
lfi,prudent,15,lr,9.3,0.3776291016103894,0.467729864910006,0.532270135089994
lfi,prudent,15,rn,10.1,0.46,0.5100927711065066,0.48990722889349336
lfi,prudent,15,reconquete,6.9,0.46,0.49574219755805277,0.5042578024419473
lfi,prudent,15,nouvelle_energie,11.3,0.311194532788215,0.40640953482320863,0.5935904651767914
lfi,prudent,16,lfi,13.3,0.46,0.4259999149414683,0.5740000850585316
lfi,prudent,16,ps,10.7,0.4205625158141757,0.4151652539322936,0.5848347460677064
lfi,prudent,16,ecologistes,10.7,0.46,0.3832031139106213,0.6167968860893787
lfi,prudent,16,renaissance,9.9,0.2177969921660684,0.34399790801504065,0.6560020919849594
lfi,prudent,16,lr,9,0.2746697035561982,0.4144102100914815,0.5855897899085185
lfi,prudent,16,reconquete,7.5,0.29352807153448607,0.5439680147986398,0.45603198520136023
lfi,prudent,16,nouvelle_energie,10.2,0.30848775604841744,0.4498992123983985,0.5501007876016015
lfi,prudent,17,ps,13.9,0.3406440084538093,0.5371508489452308,0.4628491510547692
lfi,prudent,17,ecologistes,10.6,0.3608329950328885,0.5524255394386879,0.4475744605613121
lfi,prudent,17,renaissance,8.2,0.1561969921660684,0.37805326001721457,0.6219467399827854
lfi,prudent,17,lr,8.7,0.30306970355619817,0.44046467898132224,0.5595353210186778
lfi,prudent,17,rn,12.6,0.437866785515875,0.4790683670436044,0.5209316329563956
lfi,prudent,17,reconquete,5,0.45290053285801407,0.46071589700146764,0.5392841029985324
lfi,prudent,17,nouvelle_energie,7.8,0.28688775604841743,0.43722203006954125,0.5627779699304587
lfi,prudent,18,ps,10,0.282014387182627,0.5966634539509141,0.40333654604908586
lfi,prudent,18,ecologistes,9.6,0.35862599071618256,0.5671839383473489,0.4328160616526511
lfi,prudent,18,renaissance,10,0.19179699216606838,0.41068364047671857,0.5893163595232814
lfi,prudent,18,lr,7.3,0.24866970355619816,0.4013074162673185,0.5986925837326815
lfi,prudent,18,rn,13.7,0.433466785515875,0.4986627288350079,0.5013372711649922
